          nit         rmax         emax
          333  3.09799e-05  1.16587e-01 
          666  3.02342e-05  1.08569e-01 
          999  2.94373e-05  1.00922e-01 
         1332  2.85926e-05  9.36219e-02 
         1665  2.77037e-05  8.66525e-02 
         1998  2.67741e-05  7.99983e-02 
         2331  2.58072e-05  7.36463e-02 
         2664  2.48064e-05  6.75857e-02 
         2997  2.37752e-05  6.18073e-02 
         3330  2.27169e-05  5.63031e-02 
         3663  2.16347e-05  5.10666e-02 
         3996  2.05317e-05  4.60920e-02 
         4329  1.94111e-05  4.13748e-02 
         4662  1.82756e-05  3.69112e-02 
         4995  1.71282e-05  3.26982e-02 
         5328  1.59716e-05  2.87337e-02 
         5661  1.48084e-05  2.50161e-02 
         5994  1.36410e-05  2.15447e-02 
         6327  1.24717e-05  1.83194e-02 
         6660  1.13029e-05  1.53410e-02 
         6993  1.01365e-05  1.26110e-02 
         7326  8.97460e-06  1.01318e-02 
         7659  7.81896e-06  7.90661e-03 
         7992  6.67133e-06  6.02752e-03 
         8325  5.53331e-06  4.86142e-03 
         8658  4.40637e-06  3.91197e-03 
         8991  3.29187e-06  3.16048e-03 
         9324  2.19108e-06  2.59181e-03 
         9657  1.10513e-06  2.19514e-03 
         9990  1.54314e-06  1.96556e-03 
        10323  9.83729e-07  1.62053e-03 
        10656  8.30037e-07  1.32233e-03 
        10989  6.97138e-07  1.07144e-03 
        11322  5.82437e-07  8.61393e-04 
        11655  4.83681e-07  6.86512e-04 
        11988  3.98909e-07  5.41833e-04 
        12321  3.26407e-07  4.23007e-04 
        12654  2.64672e-07  3.26221e-04 
        12987  2.12380e-07  2.48136e-04 
        13320  1.68365e-07  1.85826e-04 
        13653  1.31593e-07  1.36733e-04 
        13986  1.01148e-07  9.86238e-05 
        14319  7.62111e-08  6.95557e-05 
        14652  5.60530e-08  4.78431e-05 
        14985  4.00193e-08  3.20349e-05 
        15318  3.22029e-08  2.08987e-05 
        15651  2.74609e-08  1.43961e-05 
        15984  2.33824e-08  1.12458e-05 
        16317  1.99771e-08  8.95909e-06 
        16650  1.72232e-08  7.29424e-06 
        16983  1.50681e-08  6.04824e-06 
        17316  1.34295e-08  5.04689e-06 
        17649  1.21961e-08  4.14968e-06 
        17982  1.12297e-08  3.67222e-06 
        18315  1.03662e-08  3.66882e-06 
        18648  9.41763e-09  3.71754e-06 
        18981  8.17382e-09  3.77516e-06 
        19314  6.40452e-09  3.75552e-06 
        19647  3.86136e-09  3.52512e-06 
        19980  3.63499e-09  2.92549e-06 
        20313  1.09337e-09  2.54136e-06 
        20646  1.01606e-09  2.20268e-06 
        20979  9.24311e-10  1.88612e-06 
        21312  8.23967e-10  1.59790e-06 
        21645  7.20378e-10  1.34169e-06 
        21978  6.18106e-10  1.11910e-06 
        22311  5.20795e-10  9.30164e-07 
        22644  4.31149e-10  7.73779e-07 
        22977  3.51019e-10  6.47893e-07 
        23310  2.81520e-10  5.48560e-07 
        23643  2.27341e-10  4.69136e-07 
        23976  2.03804e-10  4.03408e-07 
        24309  1.81995e-10  3.47518e-07 
        24642  1.62113e-10  2.99133e-07 
        24975  1.44226e-10  2.56675e-07 
        25308  1.28270e-10  2.18989e-07 
        25641  1.14056e-10  1.85206e-07 
        25974  1.01297e-10  1.54688e-07 
        26307  8.96295e-11  1.27010e-07 
        26640  7.86573e-11  1.01943e-07 
        26973  6.79989e-11  7.94391e-08 
        27306  5.73374e-11  5.96025e-08 
        27639  4.64895e-11  4.46114e-08 
        27972  3.54678e-11  3.36325e-08 
        28305  2.45471e-11  2.53640e-08 
        28638  1.44671e-11  1.94953e-08 
        28971  9.46471e-12  1.55713e-08 
        29304  1.11121e-11  1.29975e-08 
        29637  9.80283e-12  1.09738e-08 
        29970  1.04415e-11  8.40595e-09 
        30303  4.60840e-12  6.54739e-09 
        30636  3.72570e-12  5.17863e-09 
        30969  3.04433e-12  4.07708e-09 
        31302  2.50446e-12  3.18462e-09 
        31635  2.06770e-12  2.45830e-09 
        31968  1.70492e-12  1.86648e-09 
        32301  1.39822e-12  1.38559e-09 
        32634  1.13573e-12  9.97884e-10 
        32967  9.10344e-13  6.89712e-10 
        33300  7.14154e-13  4.50218e-10 
        33633  5.45372e-13  2.70352e-10 
        33966  4.01556e-13  2.10253e-10 
        34299  2.80910e-13  2.20710e-10 
        34632  1.83238e-13  2.24649e-10 
        34965  1.30088e-13  2.22043e-10 
        35298  1.31253e-13  2.13397e-10 
        35631  1.31614e-13  1.99718e-10 
        35964  1.25772e-13  1.82375e-10 
        36297  1.16654e-13  1.62986e-10 
        36630  1.04081e-13  1.47616e-10 
        36963  8.97033e-14  1.35096e-10 
        37296  7.38688e-14  1.24689e-10 
        37629  5.92416e-14  1.16293e-10 
        37962  4.73067e-14  1.09564e-10 
        38295  4.07702e-14  1.03781e-10 
        38628  3.97294e-14  9.80719e-11 
        38961  4.19707e-14  9.17111e-11 
        39294  4.46421e-14  8.45417e-11 
        39627  3.87996e-14  7.72820e-11 
        39960  1.77069e-14  7.20998e-11 
        40293  1.42775e-14  6.77947e-11 
        40626  1.33755e-14  6.39413e-11 
        40959  1.12522e-14  6.08341e-11 
